morphotype	taxon	authorship	rank	confidence
Equisetum sp.	Equisetum	L.	genus	fully-reliable
Isoetes lacustris	Isoetes lacustris	L.	species	fully-reliable
Isoetes sectacea ssp. muric.	Isoetes sectacea ssp. muricata	(Dur.) Holub	subspecies	fully-reliable
Diphasium type	Diphasium alpinum	(L.) Rothm.	species	unreliable
Diphasium type	Diphasium complanatum	(L.) Rothm.	species	unreliable
Diphasium type	Lycopodium dubium	Zoega.	species	unreliable
Diphasium type	Lycopodium clavatum	L.	species	unreliable
Huperzia selago	Huperzia selago	(L.) Bernh. ex Schrank. & Mart.	species	fully-reliable
Lycopodium dubium	Lycopodium dubium	Zoega.	species	fully-reliable
Lycopodium dubium	Diphasium alpinum	(L.) Rothm.	species	fully-reliable
Lycopodium dubium	Diphasium complanatum	(L.) Rothm.	species	fully-reliable
Lycopodium dubium	Lycopodium clavatum	L.	species	fully-reliable
Lycopodium clavatum	Lycopodium clavatum	L.	species	fairly-reliable
Botrychium sp.	Botrychium	Sw.	genus	fully-reliable
Cystopteris fragilis ssp. fragilis	Cystopteris fragilis ssp. fragilis	(L.) Bernh.	subspecies	fully-reliable
Cystopteris fragilis ssp. dickieana	Cystopteris fragilis ssp. dickieana	(Sim.) Hyl.	subspecies	fully-reliable
Dryopteris type	Polypodiaceae		family	unreliable
Gymnocarpium dryopteris	Gymnocarpium dryopteris	(L.) Newman	species	fully-reliable
Polystichum lonchitis	Polystichum lonchitis	(L.) Roth.	species	fully-reliable
Selaginella selaginoides	Selaginella selaginoides	(L.) Link.	species	fully-reliable
Juniperus communis	Juniperus communis	L.	species	fully-reliable
Alnus sp.	Alnus	Mill.	genus	fully-reliable
Betula sp.	Betula	L.	genus	fully-reliable
Callitriche sp.	Callitriche	L.	genus	fairly-reliable
Campanula sp.	Campanula	L.	genus	fully-reliable
Cerastium cerastoides	Cerastium cerastoides	(L.) Britton	species	fairly-reliable
Cerastium-Stellaria type	Cerastium alpinum	L.	species	unreliable
Cerastium-Stellaria type	Cerastium arcticum	Lge.	species	unreliable
Cerastium-Stellaria type	Cerastium fontanum	Baumg.	species	unreliable
Cerastium-Stellaria type	Stellaria longipes	Goldie	species	unreliable
Cerastium-Stellaria type	Stellaria calycantha	(Led.) Bong.	species	unreliable
Cerastium-Stellaria type	Minuartia groenlandica	Retz.	species	unreliable
Cerastium-Stellaria type	Minuartia stricta	(Sw). Hiern.	species	unreliable
Melandrium sp.	Melandrium	Roehl.	genus	fully-reliable
Melandrium apetalum	Melandrium apetalum	(L.) Fenzl.	species	fully-reliable
Melandrium trifiorum	Melandrium trifiorum	(R. Br.) J. Vahl.	species	fully-reliable
Minuartia type	Viscaria	Bernh.	genus	unreliable
Minuartia type	Minuartia rubella	(Wbg.) Hiern.	species	unreliable
Minuartia type	Minuartia rossii	(R. Br.) Graebn.	species	unreliable
Minuartia type	Arenaria humifusa	Wbg.	species	unreliable
Minuartia type	Arenaria pseudofrigida	Ostf. & Dahl.	species	unreliable
Minuartia type	Honckenya	Ehrh.	genus	unreliable
Minuartia type	Silene acaulis	(L.) Jacq.	species	unreliable
Sagina sp.	Sagina	L.	genus	fully-reliable
Silene acaulis type	Silene acaulis	(L.) Jacq.	species	fully-reliable
Stellaria humifusa	Stellaria humifusa	Rottb.	species	fully-reliable
Viscaria alpina	Viscaria alpina	(L.) G. Don	species	fully-reliable
Achillea-Tripleurospermum type	Achillea millefolium	L.	species	unreliable
Achillea-Tripleurospermum type	Tripleurospermum maritimum	(L.) W.D.J.Koch	species	unreliable
Artemisia sp.	Artemisia	L.	genus	fully-reliable
Erigeron type	Erigeron	L.	genus	unreliable
Erigeron type	Gnaphalium	L.	genus	unreliable
Ligulifiorae	Hieracium	L.	genus	fully-reliable
Ligulifiorae	Taraxacum	Web.	genus	fully-reliable
Ligulifiorae	Leontodon	L.	genus	fully-reliable
Streptopus amplexifolius	Streptopus amplexifolius	(L.) DC.	species	fully-reliable
Cornus suecica/canadensis	Cornus suecica	L.	species	fully-reliable
Cornus suecica/canadensis	Cornus canadensis	L.	species	fully-reliable
Sedum sp.	Sedum		genus	fully-reliable
Eutrema edwardsii	Eutrema edwardsii	R.Br.	species	fully-reliable
Subularia aquatica	Subularia aquatica	L.	species	fully-reliable
Empetrum nigrum ssp. hermaphroditum	Empetrum nigrum ssp. hermaphroditum	(Hagerup) B�ch	subspecies	fully-reliable
Cassiope type	Cassiope tetragona	(L.) D. Don.	species	unreliable
Cassiope type	Harrimanella hypnoides	(L.) Coville.	species	unreliable
Harrimanella type	Cassiope tetragona	(L.) D. Don.	species	unreliable
Harrimanella type	Harrimanella hypnoides	(L.) Coville.	species	unreliable
Ericales sp.	Ericales		genus	fully-reliable
Ericales sp.	Loiseleuria	Desv.	genus	fully-reliable
Ledum type	Ledum palustre	L.	species	unreliable
Ledum type	Ledum palustre ssp. decumbens	(Ait.) Hult.	subspecies	unreliable
Ledum type	Ledum groenlandicum	Oed.	species	unreliable
Rhododendron-Arctostaphylos type	Rhododendron lapponicum	(L.) Wbg.	species	fully-reliable
