morphotype	taxon	authorship	rank	confidence
Empetrum nigrum	Empetrum nigrum	(Hagerup) Böch.	species	
Vaccinium uliginosum	Vaccinium uliginosum	L.	species	
Phyllodoce corerulea	Phyllodoce corerulea	(L.) Bab.	species	
Cassiope type	Cassiope tetragona	(L.) D.Don	species	
Cassiope type	Harrimanella hypnoides	(L.) Coville.	species	
Rhododendron lapponicum	Rhododendron lapponicum	(L.) Wbg.	species	
Arctostaphylos alpina	Arctostaphylos alpina	(L.) Spreng.	species	
Chamaenerion type	Chamaenerion		genus	
Oxyria	Oxyria		genus	
Dryas	Dryas		genus	
Gramineae	Gramineae		genus	
Pedicuralis	Pedicuralis		genus	
Potentilla	Potentilla		genus	
Cruciferae	Cruciferae		family	
Cyperaceae	Cyperaceae		family	
Liguiflorae	Liguiflorae		family	
Polypodiaceae	Polypodiaceae		family	
Caryophyllaceae	Caryophyllaceae		family	
