source_id	source_title	source_year	site_name	LatDD	LonDD	inferred_from	inferred_using	biodiversity_measure	inferred_as	sample_origin
sourcenode_pub_arseneault_a2tcosbsmgfrtlcc_noyear	A 2233-year tree-ring chronology of subarctic black spruce (Picea mariana): growth forms response to long-term climate change		Rivière Boniface / Lac Bush	57.73333334	-76.16666667	Contemporaneous Whole Organism: Picea mariana (Mill.) B.S.P.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	"OtherOrigin (ShortText ""Livng Organism and Subfossil"")"
sourcenode_pub_case_a5rocatdftllrronsr_1998	A 538-year record of climate and treeline dynamics from the lower Lena River region of Northern Siberia, Russia	1998	Lena River	70.66667	125.86667	Contemporaneous Whole Organism: Larix dahurica Turcz. ex Trautv.	Implicit	PresenceOnly	Larix dahurica Turcz. ex Trautv. [Species]	LivingOrganism
sourcenode_pub_enright_pcaotriwsgfsc_1984	Principal components analysis of tree-ring/climate relationships in white spruce (Picea glauca) from Schefferville, Canada	1984	Ironarm	54.915437	-66.637529	Contemporaneous Whole Organism: Picea glauca [Moench] Vos	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	LivingOrganism
sourcenode_pub_enright_pcaotriwsgfsc_1984	Principal components analysis of tree-ring/climate relationships in white spruce (Picea glauca) from Schefferville, Canada	1984	Menihek	54.747078	-66.95837	Contemporaneous Whole Organism: Picea glauca [Moench] Vos	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	LivingOrganism
sourcenode_pub_enright_pcaotriwsgfsc_1984	Principal components analysis of tree-ring/climate relationships in white spruce (Picea glauca) from Schefferville, Canada	1984	Annabel	54.978545	-67.020914	Contemporaneous Whole Organism: Picea glauca [Moench] Vos	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	LivingOrganism
sourcenode_pub_lefevre_hdocasfaia_1991	Historical Diversity of Cormorants and Shags from Amchitka Island Alaska	1991	Site 31 and Site 36 (composite)	51.46	-179.05	Macrofossil: Aves	Explicit: Atlas or Key - Siegel-Causey, D. 1988. Phylogeny of the Phalacrocoracidae. Condor 90:885-905. 	Abundance	Compsohalieus perspicillatus Pallas [Species]	"OtherOrigin (ShortText ""Midden"")"
sourcenode_pub_lefevre_hdocasfaia_1991	Historical Diversity of Cormorants and Shags from Amchitka Island Alaska	1991	Site 31 and Site 36 (composite)	51.46	-179.05	Macrofossil: Aves	Explicit: Atlas or Key - Siegel-Causey, D. 1988. Phylogeny of the Phalacrocoracidae. Condor 90:885-905. 	Abundance	Phalacrocorax capillatus Temminck & Schlegel [Species]	"OtherOrigin (ShortText ""Midden"")"
sourcenode_pub_lefevre_hdocasfaia_1991	Historical Diversity of Cormorants and Shags from Amchitka Island Alaska	1991	Site 31 and Site 36 (composite)	51.46	-179.05	Macrofossil: Aves	Explicit: Atlas or Key - Siegel-Causey, D. 1988. Phylogeny of the Phalacrocoracidae. Condor 90:885-905. 	Abundance	Hypoleucus auritus Lesson [Species]	"OtherOrigin (ShortText ""Midden"")"
sourcenode_pub_lefevre_hdocasfaia_1991	Historical Diversity of Cormorants and Shags from Amchitka Island Alaska	1991	Site 31 and Site 36 (composite)	51.46	-179.05	Macrofossil: Aves	Explicit: Atlas or Key - Siegel-Causey, D. 199 1. Systematics and biogeography of North Pacific shags, with a description of a new species. Oct. Pap. Univ. Kansas Mus. Nat. Hist. 140:1-17.	Abundance	Stictocarbo kenyoni Siegel-Causey [Species]	"OtherOrigin (ShortText ""Midden"")"
sourcenode_pub_lefevre_hdocasfaia_1991	Historical Diversity of Cormorants and Shags from Amchitka Island Alaska	1991	Site 31 and Site 36 (composite)	51.46	-179.05	Macrofossil: Aves	Explicit: Atlas or Key - Siegel-Causey, D. 199 1. Systematics and biogeography of North Pacific shags, with a description of a new species. Oct. Pap. Univ. Kansas Mus. Nat. Hist. 140:1-17.	Abundance	Stictocarbo urile Gmelin [Species]	"OtherOrigin (ShortText ""Midden"")"
sourcenode_pub_lefevre_hdocasfaia_1991	Historical Diversity of Cormorants and Shags from Amchitka Island Alaska	1991	Site 31 and Site 36 (composite)	51.46	-179.05	Macrofossil: Aves	Explicit: Atlas or Key - Siegel-Causey, D. 199 1. Systematics and biogeography of North Pacific shags, with a description of a new species. Oct. Pap. Univ. Kansas Mus. Nat. Hist. 140:1-17.	Abundance	Stictocarbo pelagicus Pallas [Species]	"OtherOrigin (ShortText ""Midden"")"
sourcenode_pub_makela_bpmathobabnl_1998	Birch pollen measurements and the history of birch at Bruvatnet, Norwegian Lapland	1998	Bruvatnet	70.183333	28.416667	Morphotype: Pollen - Betula pendula	Explicit: Atlas or Key - Mäkelä (1998) Birch pollen measurements and the history of birch at Bruvatnet, Norwegian Lapland, Grana, 37:6, 358-3	Abundance	Betula pendula Roth [Species]	LakeSediment
